2JH0256,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Corsa II - Meriva c/ABS 29D
2JH0257,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Vento- Bora c/bulón
2JH0259,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo (04/…)
2JH0260,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Megane II c/ABS 44D
2JH0261,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Megane- Clio
2JH0262,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Corsa Il - Meriva s/ABS
2JH0272,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Vectra - Kadett - Astra - Zafira c/ABS 29D
2JH0274,CHEVROLET,JUNTA DESLIZANTE,JUN DES CHEV Corsa (lado caja)
2JH0277,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT C3 1.6 16v/ 1.4 diesel
2JH0278,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Palio/Adventure - Idea
2JH0279,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Scenic c/ABS 44D
2JH0281,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo c/ABS 26D
2JH0282,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM  VW Golf IV - Bora copa chica
2JH0283,HONDA,JUNTA HOMOCINETICA,JUN HOM HON Fit
2JH0288,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Master
2JH0289,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT Berlingo c/ABS 48D
2JH0289,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU Partner modelo nuevo c/ABS 48D
2JH0296,CHERY,JUNTA HOMOCINETICA,JUN HOM CHERY Tiggo c/ABS 48D
2JH0297,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHERY QQ - Face ABS 40D
2JH0298,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo  Linea nueva
2JH0298,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Sandero Stepway (08/…)
2JH0299,AUDI,JUNTA HOMOCINETICA,JUN HOM AUDI A3 1.6 AEH / AKL / APF / AVU
2JH0300,AUDI,JUNTA HOMOCINETICA,JUN HOM AUDI A3 2.0 TDI BMN/ASZ/BKD
2JH0301,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV S-10 4x4 2.8 MWM
2JH0302,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Spark (08/…)
2JH0303,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT C4 1.6 16v (07/…) C/ABS 29D
2JH0304,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT C4 2.0 16V (07/…) s/ABS
2JH0305,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT C4 2.0 HDI - XANTIA
2JH0305,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM 406
2JH0307,HYUNDAI,JUNTA HOMOCINETICA,JUN HOM HYU Santa Fe 2.2 CRDi (06/…) ABS 52D
2JH0308,MERCEDES BENZ,JUNTA HOMOCINETICA,JUN HOM MER BENZ Clase A 160 /190 (99/…) c/ABS 48D
2JH0309,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU Expert C/ABS 48D
2JH0310,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Hilux 4X4 (05/…) 2.5TDI - 3.0TDI c/tuerca
2JH0324,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Doblo-Idea-Palio/ Weekend - Siena - Strada s/ABS 1.8 8V largo150mm
2JH0325,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Fox Cross- Fox sin ABS 1.0 8v
2JH0330,VOLKSWAGEN,JUNTA DESLIZANTE,JUN DES VW Amarok 2.0 Pick Up Junta  (Lado Caja)
2JH0331,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Amarok 2.0 Pick Up Homocinetica
2JH0332,FORD,JUNTA DESLIZANTE,JUN DES FORD Focus II 1.6 / 1.8 / 2.0
2JH0334,NISSAN,JUNTA HOMOCINETICA,JUN HOM NIS March
2JH0336,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Fluence
2JH0336,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Duster
2JH0364,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Runner C/Tuerca
2JH0379,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Logan-Sandero
2JH0380,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Symbol-Clio-Megane c/ABS 44D
2JH0381,SUZUKI,JUNTA DESLIZANTE,JUN DES SUZ Gran Vitara
2JH0382,ISUZU,JUNTA DESLIZANTE,JUN DES ISU LUV 2.3
2JH0383,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Captiva
2JH0384,VOLKSWAGEN,JUNTA DESLIZANTE,JUN DES VW Transporter 07/ C/ABS 48D
2JH0385,TOYOTA,JUNTA DESLIZANTE,JUN DES TOY Hilux 2004/2006
2JH0386,TOYOTA,JUNTA DESLIZANTE,JUN DES TOY Hilux 94/98
2JH0387,KIA,JUNTA DESLIZANTE,JUN DES KIA Picanto (Lado Caja)
2JH0388,HYUNDAI,JUNTA HOMOCINETICA,JUN HOM HYU I10
2JH0389,HYUNDAI,JUNTA HOMOCINETICA,JUN HOM HYU Tucson ABS 48D
2JH0390,HYUNDAI,JUNTA HOMOCINETICA,JUN HOM HYU Atos 05/
2JH0391,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Cruze 11
2JH0393,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Cruze 11
2JH0395,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Etios 11/.. ABS 48D
2JH0399,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 208
2JH0400,CHEVROLET,JUNTA DESLIZANTE,JUN DES CHEV Cruze 11>  (Lado Caja)
2JH0402,CHEVROLET,JUNTA DESLIZANTE,JUN DES CHEV Cruze 11>  (Lado Caja)
2JH0403,CHEVROLET,JUNTA DESLIZANTE,JUN DES CHEV Cruze 11>  (Lado Caja)
2JH0404,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Etios 11/..
2JH0405,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Etios 11/..
2JH0406,RENAULT,JUNTA DESLIZANTE,JUN DES REN Logan-Sandero (Lado Caja)
2JH0407,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Logan - Sandero
2JH0408,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 208
2JH0419,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Aveo c/ABS 47D
2JH0420,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Idea - Punto - Stilo
2JH0421,ALFA ROMEO,JUNTA HOMOCINETICA,JUN HOM ALFA 145 1.4
2JH0421,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Bravo - Brava (96/01)
2JH0421,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Marea Weekend
2JH0422,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Ranger
2JH0423,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Tipo - Tempra
2JH0424,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Uno Novo - Nuevo Palio 1.4 12/…largo138mm
2JH0427,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Gol Trend - Fox  - Suran - Gol 1.4 (11/14)
2JH0428,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Gol Trend - Voyage 1.6 08/..
2JH0429,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Explorer-Ranger 4.0 4x4 (01/…)
2JH0430,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Agile c/ ABS 48D
2JH0430,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Aveo c/ ABS 48D
2JH0430,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Celta c/ABS 48D
2JH0430,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Classic (10/..) c/ ABS 48D
2JH0431,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 308 (12/…) C/ABS 48D
2JH0433,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo-Clio c/ABS 44D
2JH0434,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo-Clio 1.6
2JH0436,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo - Clio c/ABS 44D 04>
2JH0437,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo-Clio-Megane 2 ABS 44D
2JH0438,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Kangoo-Clio III c/ABS 44D
2JH0439,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Megane-Clio-Twingo c/ABS 26D
2JH0442,CHERY,JUNTA HOMOCINETICA,JUN HOM CHRY Cherokee-Grand Cherokee 84/96 C/ABS 54D
2JH0445,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Focus II 1.6/2.0
2JH0446,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Focus II 1.6/2.0
2JH0447,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Ducato 06/..
2JH0449,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 206 1.9 HDI
2JH0449,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 207
2JH0451,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV S10 4X4 (99/..)
2JH0454,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Corolla 1.6 - Rav4 2.0 c/ABS 48D
2JH0455,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Corolla  (92/97) c/ABS 48D
2JH0456,NISSAN,JUNTA HOMOCINETICA,JUN HOM NIS Tiida (05/..)
2JH0457,VOLKSWAGEN,JUNTA DESLIZANTE,JUN DES VW Bora - Sharan (Lado Caja)
2JH0458,AUDI,JUNTA HOMOCINETICA,JUN HOM AUDI A4(08/13) - A5(08/11) - Q5(09/13)
2JH0459,CHEVROLET,JUNTA DESLIZANTE,JUN DES CHEV Corsa II - Meriva  Lado Caja
2JH0464,CHRYSLER,JUNTA HOMOCINETICA,JUN HOM CHRY Neon (00/05) - PT Cruiser (02/05) C/ ABS 46D
2JH0471,MERCEDES BENZ,JUNTA HOMOCINETICA,JUN HOM MER BENZ Clase B
2JH0472,MITSUBISHI,JUNTA HOMOCINETICA,JUN HOM MIT Montero (83/86)
2JH0474,NISSAN,JUNTA HOMOCINETICA,JUN HOM NIS Frontier - Xterra
2JH0475,PEUGEOT,JUNTA DESLIZANTE,JUN DES PEU 306-405 LC IZQ M.70MM.  (Lado Caja)
2JH0476,PEUGEOT,JUNTA DESLIZANTE,JUN DES PEU 306-405 LC DER M.348MM. (Lado Caja)
2JH0479,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 206 1.4 / 1.6 ABS 48D
2JH0482,LAND ROVER,JUNTA HOMOCINETICA,JUN HOM LAN ROV FREELANDER (98/..)
2JH0488,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Sharan
2JH0490,CHERY,JUNTA HOMOCINETICA,JUN HOM CHERY Tiggo (10/..) c /ABS 48D
2JH0492,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Ranger 12/..
2JH0493,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Palio - Siena - Strada
2JH0495,RENAULT,JUNTA DESLIZANTE,JUN DES REN Clio -R9 - R12 - R19 Lado Caja
2JH0496,RENAULT,JUNTA DESLIZANTE,JUN DES REN Clio II - Kangoo - Megane  Lado Caja
2JH0497,FIAT,JUNTA DESLIZANTE,JUN DES FIAT Palio - Regatta - Tempra (L. Caja)
2JH0498,CHEVROLET,JUNTA DESLIZANTE,JUN DES CHEV Corsa Lado Caja
2JH0499,HONDA,JUNTA HOMOCINETICA,JUN HOM HON Fit
